benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Zhi Li,6,psi,32400.0,EFV,0.49,-27.48212291377298,
Zhi Li,6,psi,32400.0,EFV,0.51,-42.62263459314947,
Zhi Li,6,psi,32400.0,EFV,0.53,-42.64998089644676,
Zhi Li,6,psi,32400.0,EFV,0.55,-42.64999998677865,
Zhi Li,6,psi,32400.0,EFV,0.5700000000000001,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.59,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.61,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.63,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.65,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.67,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.6900000000000001,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.71,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.73,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.75,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.77,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.79,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.81,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.8300000000000001,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.85,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.87,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.89,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.91,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.93,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.95,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.97,-42.649999999999984,
Zhi Li,6,psi,32400.0,EFV,0.99,-42.649999999999984,
Zhi Li,6,psi,32400.0,Reference,0.01,1.936496675768215e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.03,3.8723843792541625e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.05,5.807053632246176e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.07,7.739894090089011e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.09,9.670294533368612e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.11,-6.04999617096015e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.13,-0.0009518408945767,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.15,-0.003078033825075,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.17,-0.0066506802451317,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.19,-0.0119200031029751,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.21,-0.0191986407252101,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.23,-0.0288885403548658,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.25,-0.0415200175785614,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.27,-0.0578126513121294,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.29,-0.0787751060184704,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.31,-0.1058776412211266,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
